UserName,ScreenName,Location,TweetAt,OriginalTweet,Sentiment
3800,48752,UK,16-03-2020,advice talk neighbour family exchange phone number create contact list phone number neighbour school employer chemist gp set online shopping account po adequate supply regular med order,positive
3801,48753,Vagabonds,16-03-2020,coronavirus australia woolworth give elderly disabled dedicated shopping hour amid covid outbreak,positive
3802,48754,,16-03-2020,food stock one empty please dont panic enough food everyone take need stay calm stay safe,positive
3803,48755,,16-03-2020,ready go supermarket outbreak im paranoid food stock litteraly empty serious thing please dont panic cause shortage,extremely negative
3804,48756,"ÃT: 36.319708,-82.363649",16-03-2020,news region first confirmed covid case came sullivan county last week people flocked area store purchase cleaning supply hand sanitizer food toilet paper good report,positive
3805,48757,"35.926541,-78.753267",16-03-2020,cashier grocery store sharing insight prove credibility commented im civics class know im talking,positive
3806,48758,Austria,16-03-2020,supermarket today didnt buy toilet paper,neutral
3807,48759,"Atlanta, GA USA",16-03-2020,due covid retail store classroom atlanta open walkin business class next two week beginning monday march continue process online phone order normal thank understanding,positive
3808,48760,"BHAVNAGAR,GUJRAT",16-03-2020,corona preventionwe stop buy thing cash use online payment method corona spread note also prefer online shopping home time fight covid,negative
3809,48761,"Makati, Manila",16-03-2020,month hasnt crowding supermarket restaurant however reducing hour closing mall mean everyone using entrance dependent single supermarket,neutral
3810,48762,"Pitt Meadows, BC, Canada ",16-03-2020,due covid situation increased demand food product wait time may longer online order particularly beef share freezer pack thank patience time,extremely positive
3811,48763,Horningsea,16-03-2020,caring community let look le capable village ensure stay healthy bringing shopping door help online shopping self isolation symptom exposed somebody,extremely positive
3812,48764,"Chicago, IL",16-03-2020,dont need stock food ill amazon deliver whatever need amazon,positive
3813,48765,,16-03-2020,adara release covid resource center travel brand insight help travel brand stay uptodate consumer travel behavior trend,positive
3814,48766,"Houston, Texas",16-03-2020,line grocery store unpredictable eating safe alternative find whether avoiding restaurant right,positive
3816,48768,"Ontario, Canada",16-03-2020,mar russia consumer surveillance watchdog reported case high arctic man traveled iran covid observed,neutral
3817,48769,North America,16-03-2020,amazon glitch stymy whole food fresh grocery delivery covid spread weve seen significant increase people shopping online grocery spokeswoman said statement today resulted system impact affecting,extremely positive
3818,48770,"Denver, CO",16-03-2020,arent struggling please consider donating food bank nonprofit demand service increase covid impact job people way life,positive
3819,48771,southampton soxx xxx,16-03-2020,nation inficted covid world must play fair china goverments must demand china adopts new guilde line food safty chinese goverment guilty irosponcible life global scale,extremely negative
